Frame,X,Y,Z
5,-5042.412459206075,7458.122025935439,0
15,-5299.2168925787655,7837.955848810826,0
19,-5404.7951601703735,7994.114356143456,0
20,-5432.519957230238,8035.121497326295,0
22,-5481.528436881515,8107.60886810404,0
24,-5535.857837180644,8187.966296280513,0
25,-5562.742488875059,8227.730796821448,0
30,-5687.924148327177,8412.884252465175,0
65,-191.2586753757471,283.2193171263475,0
74,863.0255035415198,62.00437675604984,0
99,-1019.7582056445041,1504.7618630602985,0
100,-1045.5642171750485,1542.8413820814917,0
102,-1096.6152399854734,1618.1726044929824,0
103,-1122.1407513906859,1655.8382156987277,0
104,-1147.6662627958983,1693.503826904473,0
127,-1772.1315910593044,2622.6622326311135,0
128,-1800.4050750964248,2664.5055128610707,0
134,-1962.487721210213,2904.379366852606,0
135,-1986.0023019935606,2939.179718727026,0
137,-2037.2304958429963,3014.9947710248684,0
166,-2773.358769413968,4042.3429095778897,0
169,-2851.9954911128902,4156.960822665008,0
171,-2906.917213950133,4232.062779985712,0
173,-2962.529308218843,4305.4743246760145,0
183,-3226.0181791021846,4771.532958138529,0
188,-3357.360904567606,4965.799111822887,0
189,-3385.0857016274713,5006.806253005727,0
190,-3411.1302079564357,5045.328112904757,0
192,-3464.3394144349645,5124.028686892024,0
193,-3491.7841630396797,5164.621614527562,0
194,-3515.8683301825927,5200.243979595482,0
195,-3542.192884966707,5239.180053041814,0
199,-3645.2507164619633,5391.610638448731,0
202,-3727.5849622761084,5513.389421355344,0
204,-3778.553781113436,5588.7762869642,0
205,-3848.285846445824,5691.9154602422495,0
207,-3900.0260249443677,5775.2293086298,0
209,-4000.7621231671455,5924.401150861672,0
216,7454.117796646558,527.3712508442871,0
220,-4280.534085337104,6342.42114706736,0
221,-4306.267357846727,6380.549859161338,0
234,-4547.310898378728,6717.9285241796115,0
235,-4572.654354687498,6759.339665607688,0
236,-4604.312593334662,6806.137164747698,0
239,-4681.710048972679,6924.61497701123,0
241,-4734.919255451207,7003.315550998496,0
242,-4762.924100966223,7044.736905728637,0
243,-4788.688558840037,7082.844552080366,0
244,-4818.933791996254,7127.579615188917,0
247,-4894.546874886795,7239.417272960297,0
250,-4977.72126606639,7362.438696508813,0
252,-5031.49056945522,7441.967697590683,0
253,-5056.134833508433,7478.418489753207,0
254,-5081.899291382247,7516.526136104936,0
255,-5199.519642545311,7690.495825971526,0
263,9629.49364272034,683.9161113093986,0
267,-5416.2771468315295,8011.097111582813,0
270,-5491.89022972207,8122.934769354192,0
271,-5519.334978326786,8163.52769698973,0
275,-5621.272616001441,8314.301428207442,0
278,-5698.846038078033,8429.03858080993,0
279,10373.61921645794,736.7661870868749,0
283,10561.055615025505,744.2894993470212,0
308,-63.93944012195788,94.68268319439707,0
309,-98.91725200486701,146.4784617471307,0
313,-193.77707783131655,286.9486131821443,0
315,-312.98146072827086,463.4686264898605,0
322,880.9792268165817,63.294268442393545,0
344,-950.4746746874988,1402.526632644704,0
348,-1054.5402211856726,1556.0864321758197,0
353,-1232.0313358739663,1816.9263468629129,0
355,-1283.9655185978281,1901.319439113746,0
358,2551.421757239272,179.8112320909437,0
363,-1495.8352668549708,2213.758098106683,0
375,-1787.2481072771707,2645.0338874075264,0
377,-1835.956881756962,2717.120330575967,0
378,-1867.5895916202749,2763.935089645127,0
380,-1919.3776564407426,2840.5787217495035,0
383,-1997.1997214142023,2955.751314857702,0
384,-2019.5945602554857,2988.8945071190537,0
385,-2048.1479797781217,3031.1520772522776,0
387,-2094.0573994027527,3099.0956213880495,0
414,-2782.66741588656,4053.5407503888764,0
415,-2809.8333356430157,4093.1136300387807,0
419,-2915.693026739971,4244.839129616093,0
428,-3155.165919949196,4666.7369306712735,0
430,-3207.2549326071244,4743.780650469334,0
434,-3315.3536362950836,4903.6670797276765,0
437,-3392.6470099165253,5017.990018782864,0
439,-3448.376652491406,5100.418514695844,0
442,-3524.5498322922476,5213.084599561826,0
446,-3628.167760697804,5366.343612063346,0
447,-3656.73270312312,5408.593393888089,0
448,-3681.937064086633,5445.872613145215,0
455,-3894.429575043102,5766.941984061363,0
457,-4008.0375080387907,5935.174672800641,0
467,-4261.513840438687,6314.239055519636,0
468,-4287.52682243211,6352.782210136375,0
469,-4313.5398044255335,6391.325364753115,0
470,-4339.2730769351565,6429.454076847092,0
471,-4365.286058928579,6467.997231463832,0
472,-4395.774392662806,6513.171466444741,0
